image,subject_id,fix_x,fix_y,duration
1001.jpg,5,336.875,238.4765625,850.0
1001.jpg,5,180.625,373.2421875,891.0
1001.jpg,5,342.5,189.84375,1166.0
1002.jpg,5,224.375,300.5859375,433.0
1002.jpg,5,655.0,47.4609375,58.0
1002.jpg,5,620.0,269.53125,133.0
1002.jpg,5,588.75,243.1640625,3123.0
1005.jpg,5,299.375,362.6953125,733.0
1005.jpg,5,203.125,382.03125,874.0
1005.jpg,5,438.125,370.3125,1807.0
1006.jpg,5,289.375,386.1328125,242.0
1006.jpg,5,278.75,329.8828125,250.0
1006.jpg,5,270.0,266.6015625,550.0
1006.jpg,5,643.75,221.484375,525.0
1006.jpg,5,210.0,292.96875,233.0
1006.jpg,5,250.625,283.59375,341.0
1007.jpg,5,219.375,445.3125,233.0
1007.jpg,5,203.75,468.1640625,308.0
1007.jpg,5,254.375,375.5859375,217.0
1007.jpg,5,280.625,502.734375,183.0
1007.jpg,5,260.625,515.625,233.0
1007.jpg,5,201.875,458.203125,200.0
1007.jpg,5,591.875,380.2734375,341.0
1007.jpg,5,330.0,345.703125,341.0
1007.jpg,5,245.625,331.0546875,158.0
1007.jpg,5,200.625,476.953125,233.0
1007.jpg,5,278.125,489.84375,291.0
1009.jpg,5,497.5,250.78125,225.0
1009.jpg,5,528.125,245.5078125,283.0
1009.jpg,5,552.5,238.4765625,291.0
1009.jpg,5,573.75,204.4921875,341.0
1009.jpg,5,573.125,178.125,283.0
1009.jpg,5,540.625,230.859375,441.0
1009.jpg,5,521.875,243.1640625,391.0
1009.jpg,5,358.125,388.4765625,733.0
1010.jpg,5,413.75,383.7890625,225.0
1010.jpg,5,145.625,423.6328125,699.0
1010.jpg,5,428.125,423.046875,308.0
1010.jpg,5,698.125,425.390625,366.0
1010.jpg,5,698.125,377.9296875,366.0
1010.jpg,5,408.75,398.4375,566.0
1010.jpg,5,113.125,274.8046875,358.0
1011.jpg,5,305.0,347.4609375,275.0
1011.jpg,5,211.25,291.2109375,358.0
1011.jpg,5,218.125,373.2421875,758.0
1011.jpg,5,232.5,270.1171875,208.0
1011.jpg,5,558.125,240.234375,408.0
1011.jpg,5,681.25,431.8359375,699.0
1011.jpg,5,350.625,411.328125,400.0
1013.jpg,5,356.25,357.421875,208.0
1013.jpg,5,530.0,278.90625,225.0
1013.jpg,5,655.625,272.4609375,416.0
1013.jpg,5,727.5,301.7578125,450.0
1013.jpg,5,373.125,365.0390625,549.0
1013.jpg,5,345.625,380.859375,708.0
1018.jpg,5,288.75,424.8046875,291.0
1018.jpg,5,149.375,311.71875,166.0
1018.jpg,5,117.5,258.3984375,824.0
1018.jpg,5,460.0,362.6953125,283.0
1018.jpg,5,500.625,398.4375,266.0
1018.jpg,5,541.25,370.3125,233.0
1018.jpg,5,255.0,414.84375,616.0
1046.jpg,5,513.75,342.1875,433.0
1046.jpg,5,455.625,532.6171875,458.0
1046.jpg,5,166.875,387.890625,241.0
1046.jpg,5,138.75,333.3984375,266.0
1046.jpg,5,132.5,288.28125,158.0
1046.jpg,5,288.125,424.21875,391.0
1046.jpg,5,144.375,379.6875,191.0
1046.jpg,5,136.25,325.78125,250.0
1046.jpg,5,132.5,251.953125,283.0
1048.jpg,5,301.875,432.421875,308.0
1048.jpg,5,286.875,472.8515625,308.0
1048.jpg,5,323.125,470.5078125,341.0
1048.jpg,5,309.375,424.8046875,258.0
1048.jpg,5,311.875,300.5859375,358.0
1048.jpg,5,313.125,245.5078125,441.0
1048.jpg,5,289.375,404.8828125,599.0
1050.jpg,5,345.0,335.7421875,175.0
1050.jpg,5,100.625,410.7421875,250.0
1050.jpg,5,86.25,359.765625,233.0
1050.jpg,5,91.25,315.8203125,366.0
1050.jpg,5,374.375,309.9609375,400.0
1050.jpg,5,617.5,237.890625,1141.0
1090.jpg,5,349.375,437.6953125,42.0
1090.jpg,5,377.5,484.5703125,358.0
1090.jpg,5,121.25,350.9765625,217.0
1090.jpg,5,126.875,295.3125,316.0
1090.jpg,5,135.0,314.0625,92.0
1090.jpg,5,110.0,301.171875,192.0
1090.jpg,5,376.25,457.03125,266.0
1090.jpg,5,368.125,485.7421875,866.0
1091.jpg,5,210.625,367.3828125,266.0
1091.jpg,5,194.375,384.9609375,200.0
1091.jpg,5,582.5,380.2734375,275.0
1091.jpg,5,608.75,288.28125,383.0
1091.jpg,5,624.375,257.2265625,300.0
1091.jpg,5,648.125,375.0,400.0
1091.jpg,5,206.25,114.2578125,400.0
1091.jpg,5,213.75,246.09375,275.0
1091.jpg,5,190.0,319.921875,350.0
1094.jpg,5,331.875,389.0625,3323.0
1095.jpg,5,398.125,430.078125,350.0
1095.jpg,5,438.125,386.71875,125.0
1095.jpg,5,403.75,337.5,250.0
1095.jpg,5,302.5,273.046875,2149.0
1096.jpg,5,310.625,309.9609375,216.0
1096.jpg,5,461.25,450.0,874.0
1096.jpg,5,302.5,319.3359375,2707.0
1098.jpg,5,465.625,263.671875,316.0
1098.jpg,5,485.0,273.6328125,391.0
1098.jpg,5,506.875,225.0,133.0
1098.jpg,5,493.75,324.609375,58.0
1098.jpg,5,494.375,283.59375,192.0
1098.jpg,5,594.375,260.15625,774.0
1098.jpg,5,271.25,227.9296875,242.0
1099.jpg,5,388.75,289.453125,8.0
1099.jpg,5,551.25,250.1953125,17.0
1099.jpg,5,500.0,87.890625,508.0
1099.jpg,5,233.125,66.2109375,358.0
1099.jpg,5,237.5,90.234375,117.0
1099.jpg,5,137.5,428.3203125,416.0
1099.jpg,5,255.625,417.1875,225.0
1099.jpg,5,136.875,456.4453125,358.0
1099.jpg,5,383.75,448.2421875,400.0
1103.jpg,5,341.875,475.78125,283.0
1103.jpg,5,365.625,489.2578125,158.0
1103.jpg,5,371.25,478.7109375,450.0
1103.jpg,5,377.5,394.3359375,325.0
1103.jpg,5,427.5,356.8359375,366.0
1103.jpg,5,340.0,376.7578125,991.0
1104.jpg,5,595.0,320.5078125,341.0
1104.jpg,5,283.75,228.515625,291.0
1104.jpg,5,175.625,181.640625,191.0
1104.jpg,5,153.75,180.46875,291.0
1104.jpg,5,443.75,268.9453125,233.0
1104.jpg,5,440.625,364.453125,841.0
1104.jpg,5,255.0,221.484375,308.0
1104.jpg,5,412.5,222.0703125,633.0
1107.jpg,5,270.0,340.4296875,433.0
1107.jpg,5,640.625,373.828125,3390.0
1108.jpg,5,355.625,331.640625,291.0
1108.jpg,5,278.125,458.203125,308.0
1108.jpg,5,292.5,439.453125,83.0
1108.jpg,5,266.875,433.59375,58.0
1108.jpg,5,305.625,251.953125,258.0
1108.jpg,5,301.25,215.625,116.0
1108.jpg,5,488.125,201.5625,75.0
1108.jpg,5,496.875,178.125,233.0
1108.jpg,5,306.25,427.1484375,208.0
1108.jpg,5,300.0,459.375,491.0
1108.jpg,5,361.25,353.90625,175.0
1108.jpg,5,293.75,445.3125,59.0
1108.jpg,5,298.125,424.8046875,67.0
1111.jpg,5,383.75,310.546875,242.0
1111.jpg,5,603.125,485.15625,400.0
1111.jpg,5,578.125,346.2890625,250.0
1111.jpg,5,572.5,314.0625,166.0
1111.jpg,5,607.5,474.0234375,416.0
1111.jpg,5,576.875,359.765625,75.0
1111.jpg,5,570.0,323.4375,108.0
1111.jpg,5,581.875,291.2109375,150.0
1111.jpg,5,380.0,195.1171875,75.0
1111.jpg,5,383.125,250.78125,75.0
1111.jpg,5,371.875,186.328125,266.0
1111.jpg,5,435.625,129.4921875,308.0
1111.jpg,5,445.625,79.6875,583.0
1112.jpg,5,386.25,318.75,50.0
1112.jpg,5,473.75,516.796875,133.0
1112.jpg,5,496.25,539.6484375,1432.0
1112.jpg,5,670.625,209.765625,225.0
1112.jpg,5,598.75,200.390625,283.0
1112.jpg,5,790.625,491.015625,150.0
1112.jpg,5,795.0,465.8203125,75.0
1112.jpg,5,786.25,503.90625,575.0
1113.jpg,5,481.875,346.875,50.0
1113.jpg,5,246.875,546.6796875,133.0
1113.jpg,5,142.5,567.7734375,125.0
1113.jpg,5,337.5,239.6484375,133.0
1113.jpg,5,162.5,207.421875,208.0
1113.jpg,5,555.625,168.75,125.0
1113.jpg,5,575.625,145.3125,150.0
1113.jpg,5,594.375,101.953125,350.0
1113.jpg,5,446.875,124.8046875,342.0
1113.jpg,5,431.25,108.984375,316.0
1118.jpg,5,508.75,227.9296875,466.0
1118.jpg,5,580.625,199.8046875,367.0
1118.jpg,5,323.125,218.5546875,100.0
1118.jpg,5,283.75,255.46875,192.0
1118.jpg,5,381.25,198.046875,133.0
1118.jpg,5,371.875,164.6484375,158.0
1118.jpg,5,368.75,186.328125,17.0
1119.jpg,5,306.875,453.515625,949.0
1119.jpg,5,623.125,366.796875,658.0
1119.jpg,5,491.25,447.0703125,666.0
1119.jpg,5,401.25,128.90625,258.0
1119.jpg,5,434.375,121.875,350.0
1121.jpg,5,529.375,406.0546875,175.0
1121.jpg,5,652.5,432.421875,300.0
1121.jpg,5,371.875,479.296875,300.0
1121.jpg,5,71.875,424.8046875,699.0
1121.jpg,5,75.0,348.046875,275.0
1121.jpg,5,672.5,416.6015625,208.0
1121.jpg,5,655.625,434.765625,533.0
1121.jpg,5,306.25,465.234375,291.0
1125.jpg,5,325.625,375.0,833.0
1125.jpg,5,356.875,302.34375,491.0
1125.jpg,5,318.125,282.421875,191.0
1125.jpg,5,588.125,170.5078125,575.0
1125.jpg,5,435.625,372.65625,341.0
1125.jpg,5,327.5,377.9296875,216.0
1125.jpg,5,108.125,161.1328125,308.0
1127.jpg,5,433.75,142.96875,566.0
1127.jpg,5,625.0,191.015625,167.0
1127.jpg,5,681.875,192.1875,325.0
1127.jpg,5,363.75,380.2734375,466.0
1127.jpg,5,395.0,397.265625,341.0
1127.jpg,5,385.0,140.625,350.0
1127.jpg,5,151.25,232.6171875,466.0
1128.jpg,5,415.625,322.8515625,550.0
1128.jpg,5,216.875,401.3671875,308.0
1128.jpg,5,220.625,336.328125,241.0
1128.jpg,5,258.125,208.0078125,200.0
1128.jpg,5,233.125,220.3125,233.0
1128.jpg,5,251.875,175.1953125,633.0
1128.jpg,5,218.125,173.4375,366.0
1129.jpg,5,453.125,342.7734375,208.0
1129.jpg,5,195.0,255.46875,258.0
1129.jpg,5,172.5,222.65625,666.0
1129.jpg,5,206.875,237.3046875,641.0
1129.jpg,5,464.375,344.53125,308.0
1129.jpg,5,435.625,366.796875,375.0
1132.jpg,5,513.75,393.75,400.0
1132.jpg,5,580.625,297.65625,833.0
1132.jpg,5,153.75,413.671875,266.0
1132.jpg,5,126.25,429.4921875,316.0
1132.jpg,5,520.625,424.21875,899.0
1132.jpg,5,638.125,282.421875,83.0
1139.jpg,5,431.25,348.6328125,300.0
1139.jpg,5,454.375,373.828125,658.0
1139.jpg,5,437.5,219.7265625,350.0
1139.jpg,5,436.25,290.0390625,175.0
1139.jpg,5,430.0,338.671875,208.0
1139.jpg,5,447.5,368.5546875,708.0
1139.jpg,5,468.125,326.3671875,108.0
1139.jpg,5,431.25,198.046875,541.0
1143.jpg,5,500.0,272.4609375,175.0
1143.jpg,5,299.375,279.4921875,200.0
1143.jpg,5,521.25,418.359375,1099.0
1143.jpg,5,372.5,509.1796875,425.0
1143.jpg,5,388.125,313.4765625,250.0
1143.jpg,5,501.25,250.78125,616.0
1149.jpg,5,479.375,247.8515625,383.0
1149.jpg,5,635.0,377.9296875,275.0
1149.jpg,5,259.375,410.15625,166.0
1149.jpg,5,302.5,402.5390625,125.0
1149.jpg,5,392.5,383.203125,242.0
1149.jpg,5,251.875,298.2421875,558.0
1149.jpg,5,279.375,277.1484375,192.0
1150.jpg,5,363.125,391.9921875,183.0
1150.jpg,5,525.625,462.3046875,183.0
1150.jpg,5,404.375,159.375,458.0
1150.jpg,5,213.125,141.2109375,375.0
1150.jpg,5,471.25,100.78125,558.0
1150.jpg,5,351.25,161.1328125,358.0
1150.jpg,5,183.75,280.6640625,333.0
1150.jpg,5,386.25,430.078125,216.0
1150.jpg,5,548.75,468.1640625,491.0
1213.jpg,5,425.0,376.7578125,341.0
1213.jpg,5,263.75,536.1328125,433.0
1213.jpg,5,400.625,316.9921875,133.0
1213.jpg,5,386.875,292.3828125,4189.0
1214.jpg,5,281.875,377.9296875,8.0
1214.jpg,5,318.125,366.796875,108.0
1214.jpg,5,306.25,313.4765625,1757.0
1214.jpg,5,400.625,192.1875,1374.0
1215.jpg,5,570.625,389.6484375,600.0
1215.jpg,5,527.5,380.859375,433.0
1215.jpg,5,111.875,243.75,158.0
1215.jpg,5,143.125,241.40625,225.0
1215.jpg,5,390.0,281.8359375,167.0
1215.jpg,5,396.875,316.40625,58.0
1215.jpg,5,392.5,288.28125,191.0
1215.jpg,5,535.625,369.140625,633.0
1215.jpg,5,562.5,366.2109375,292.0
1216.jpg,5,396.875,309.375,108.0
1216.jpg,5,380.625,283.59375,92.0
1216.jpg,5,374.375,247.265625,100.0
1216.jpg,5,395.0,274.21875,50.0
1216.jpg,5,367.5,246.09375,100.0
1216.jpg,5,420.0,280.078125,58.0
1216.jpg,5,454.375,358.0078125,91.0
1216.jpg,5,448.125,275.9765625,84.0
1216.jpg,5,454.375,301.7578125,258.0
1216.jpg,5,436.25,272.4609375,300.0
1216.jpg,5,363.125,275.390625,108.0
1216.jpg,5,366.25,303.515625,58.0
1216.jpg,5,357.5,277.1484375,150.0
1216.jpg,5,368.125,258.3984375,166.0
1216.jpg,5,164.375,256.0546875,375.0
1217.jpg,5,398.125,329.8828125,58.0
1217.jpg,5,626.875,466.40625,350.0
1217.jpg,5,275.0,489.2578125,292.0
1217.jpg,5,281.875,536.71875,258.0
1217.jpg,5,84.375,520.3125,308.0
1217.jpg,5,617.5,499.21875,208.0
1217.jpg,5,640.0,470.5078125,341.0
1217.jpg,5,215.625,240.8203125,366.0
1217.jpg,5,223.75,297.0703125,208.0
1217.jpg,5,186.25,260.7421875,175.0
1218.jpg,5,343.75,388.4765625,366.0
1218.jpg,5,536.875,391.40625,291.0
1218.jpg,5,666.875,421.2890625,483.0
1218.jpg,5,532.5,384.9609375,383.0
1218.jpg,5,45.0,326.953125,175.0
1218.jpg,5,63.125,311.71875,566.0
1218.jpg,5,293.125,241.40625,300.0
1219.jpg,5,365.0,261.9140625,458.0
1219.jpg,5,358.75,171.6796875,158.0
1219.jpg,5,356.25,214.453125,75.0
1219.jpg,5,360.625,166.9921875,83.0
1219.jpg,5,374.375,149.4140625,358.0
1219.jpg,5,370.0,311.71875,666.0
1219.jpg,5,483.125,346.875,292.0
1219.jpg,5,488.125,295.3125,649.0
1220.jpg,5,389.375,271.2890625,258.0
1220.jpg,5,587.5,263.0859375,358.0
1220.jpg,5,703.125,308.203125,291.0
1220.jpg,5,223.75,395.5078125,641.0
1220.jpg,5,496.875,271.2890625,325.0
1220.jpg,5,567.5,230.859375,741.0
1220.jpg,5,566.875,256.0546875,50.0
1221.jpg,5,520.625,478.125,100.0
1221.jpg,5,521.875,440.625,183.0
1221.jpg,5,544.375,403.125,175.0
1221.jpg,5,484.375,406.0546875,308.0
1221.jpg,5,530.0,401.3671875,341.0
1221.jpg,5,563.125,459.375,608.0
1221.jpg,5,616.875,65.625,458.0
1221.jpg,5,553.75,103.125,658.0
1223.jpg,5,177.5,328.7109375,125.0
1223.jpg,5,573.75,447.0703125,583.0
1223.jpg,5,448.75,215.625,292.0
1223.jpg,5,396.25,189.84375,400.0
1223.jpg,5,205.625,339.84375,242.0
1223.jpg,5,386.875,384.9609375,1241.0
1228.jpg,5,524.375,360.3515625,133.0
1228.jpg,5,233.125,479.8828125,366.0
1228.jpg,5,244.375,414.2578125,458.0
1228.jpg,5,248.75,389.0625,708.0
1228.jpg,5,230.0,517.3828125,400.0
1228.jpg,5,541.875,358.59375,525.0
1228.jpg,5,324.375,287.6953125,292.0
1229.jpg,5,286.875,317.578125,242.0
1229.jpg,5,265.0,418.9453125,408.0
1229.jpg,5,243.75,450.0,441.0
1229.jpg,5,331.25,459.375,1041.0
1229.jpg,5,310.0,448.2421875,342.0
1229.jpg,5,181.875,264.2578125,325.0
1231.jpg,5,329.375,311.1328125,175.0
1231.jpg,5,198.75,366.2109375,258.0
1231.jpg,5,129.375,356.25,416.0
1231.jpg,5,403.125,183.984375,525.0
1231.jpg,5,500.0,200.9765625,1316.0
1234.jpg,5,376.25,371.484375,242.0
1234.jpg,5,479.375,253.7109375,316.0
1234.jpg,5,475.625,222.65625,316.0
1234.jpg,5,191.25,382.6171875,583.0
1234.jpg,5,478.125,263.0859375,425.0
